"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 22:12:55 GMT 2023","Sat Apr 15 22:12:56 GMT 2023","163","","DummyAPI","TestUser","","","test_create_user[test1-test1--400]",""
"passed","Sat Apr 15 22:12:56 GMT 2023","Sat Apr 15 22:12:57 GMT 2023","217","","DummyAPI","TestUser","","","test_edit_user[643b21620dfe53eee9d4825f---200]",""
"passed","Sat Apr 15 22:12:52 GMT 2023","Sat Apr 15 22:12:52 GMT 2023","193","","DummyAPI","TestPaging","","","test_paging_limits[50]",""
"passed","Sat Apr 15 22:12:58 GMT 2023","Sat Apr 15 22:12:59 GMT 2023","1120","","DummyAPI","TestCRUD","","","test_user_crud",""
"passed","Sat Apr 15 22:12:52 GMT 2023","Sat Apr 15 22:12:52 GMT 2023","182","","DummyAPI","TestPaging","","","test_paging_limits[49]",""
"passed","Sat Apr 15 22:12:56 GMT 2023","Sat Apr 15 22:12:56 GMT 2023","161","","DummyAPI","TestUser","","","test_create_user[---400]",""
"passed","Sat Apr 15 22:12:55 GMT 2023","Sat Apr 15 22:12:55 GMT 2023","162","","DummyAPI","TestUser","","","test_create_user[test1--test2212503@mail.com-400]",""
"passed","Sat Apr 15 22:12:55 GMT 2023","Sat Apr 15 22:12:55 GMT 2023","165","","DummyAPI","TestUser","","","test_create_user[test1-test1-test221250@mail.com-400]",""
"passed","Sat Apr 15 22:12:51 GMT 2023","Sat Apr 15 22:12:51 GMT 2023","181","","DummyAPI","TestPaging","","","test_paging_limits[6]",""
"skipped","Sat Apr 15 22:12:57 GMT 2023","Sat Apr 15 22:12:57 GMT 2023","160","","DummyAPI","TestUser","","","test_edit_user[643b21620dfe53eee9d4825fbad-firstname_edit-lastname_edit-200]",""
"skipped","Sat Apr 15 22:12:57 GMT 2023","Sat Apr 15 22:12:57 GMT 2023","158","","DummyAPI","TestUser","","","test_edit_user[643b21620dfe53eee9d4825fbad---200]",""
"skipped","Sat Apr 15 22:12:52 GMT 2023","Sat Apr 15 22:12:52 GMT 2023","187","","DummyAPI","TestPaging","","","test_paging_pages[-1]",""
"passed","Sat Apr 15 22:12:53 GMT 2023","Sat Apr 15 22:12:53 GMT 2023","185","","DummyAPI","TestPaging","","","test_paging_pages[500]",""
"passed","Sat Apr 15 22:12:52 GMT 2023","Sat Apr 15 22:12:52 GMT 2023","177","","DummyAPI","TestPaging","","","test_paging_pages[0]",""
"skipped","Sat Apr 15 22:12:52 GMT 2023","Sat Apr 15 22:12:52 GMT 2023","180","","DummyAPI","TestPaging","","","test_paging_limits[51]",""
"passed","Sat Apr 15 22:12:54 GMT 2023","Sat Apr 15 22:12:54 GMT 2023","216","","DummyAPI","TestGetPosts","","","test_get_post_by_id[638cfe32996f1266347911fb-200]",""
"skipped","Sat Apr 15 22:12:55 GMT 2023","Sat Apr 15 22:12:55 GMT 2023","166","","DummyAPI","TestUser","","","test_create_user[test1-test1-test2212501@mail.com-200]",""
"passed","Sat Apr 15 22:12:57 GMT 2023","Sat Apr 15 22:12:58 GMT 2023","167","","DummyAPI","TestUser","","","test_get_user[643b21620dfe53eee9d4825fbad-400]",""
"passed","Sat Apr 15 22:12:58 GMT 2023","Sat Apr 15 22:12:58 GMT 2023","172","","DummyAPI","TestUser","","","test_delete_user[643b21620dfe53eee9d4825f-200]",""
"passed","Sat Apr 15 22:12:55 GMT 2023","Sat Apr 15 22:12:55 GMT 2023","163","","DummyAPI","TestUser","","","test_create_user[-test1-test2212502@mail.com-400]",""
"passed","Sat Apr 15 22:12:56 GMT 2023","Sat Apr 15 22:12:56 GMT 2023","212","","DummyAPI","TestUser","","","test_edit_user[643b21620dfe53eee9d4825f-firstname_edit-lastname_edit-200]",""
"skipped","Sat Apr 15 22:12:57 GMT 2023","Sat Apr 15 22:12:57 GMT 2023","165","","DummyAPI","TestUser","","","test_edit_user[643b21620dfe53eee9d4825fbad--lastname_edit-200]",""
"passed","Sat Apr 15 22:12:51 GMT 2023","Sat Apr 15 22:12:52 GMT 2023","185","","DummyAPI","TestPaging","","","test_paging_limits[25]",""
"passed","Sat Apr 15 22:12:56 GMT 2023","Sat Apr 15 22:12:56 GMT 2023","176","","DummyAPI","TestUser","","","test_edit_user[643b21620dfe53eee9d4825f--lastname_edit-200]",""
"passed","Sat Apr 15 22:12:54 GMT 2023","Sat Apr 15 22:12:54 GMT 2023","195","","DummyAPI","TestGetPosts","","","test_get_posts_by_user[60d0fe4f5311236168a10a27-200]",""
"passed","Sat Apr 15 22:12:53 GMT 2023","Sat Apr 15 22:12:53 GMT 2023","221","","DummyAPI","TestPaging","","","test_paging_pages[998]",""
"passed","Sat Apr 15 22:12:56 GMT 2023","Sat Apr 15 22:12:56 GMT 2023","171","","DummyAPI","TestUser","","","test_edit_user[643b21620dfe53eee9d4825f-firstname_edit--200]",""
